ID,Username,CreateDate,Biased,Keyword,Text,annotation
1467216131681304581,hpalen17,2021-12-04 19:36:00+00:00,0,Jews,RT @AgainstRevisio1: More information on Polish �collaboration� and the �betrayal� of Jews� https://t.co/mswX7XHMpq,0
1293264020762394625,rafaelshimunov,2020-08-11 19:12:24+00:00,0,Jews,"The ADL’s own staff of experts routinely leak and organize against the harm of its leadership to Jews, Muslims, Black Americans and activists of every background. They are not our friends #DroptheADL  https://t.co/ipXJfEpNjd",0
1643596438780145665,endoftheage1,2023-04-05 12:48:22+00:00,0,Israel,"Matthew 27:46 \nAnd about the ninth hour (3pm Israel time) Jesus cried with a loud voice, saying, Eli, Eli, lama sabachthani? that is to say, My God, my God, why hast thou forsaken me? https://t.co/tKLGj0dUjR",0
1199686640299597829,nessie159,2019-11-27 13:49:18+00:00,0,Jews,Absolutely right. No Jews voted for Chief Rabbi Mirvis. It is an unelected position. He speaks only for himself not for other Jews. His dishonest attempt to grab headlines at the expense of Labour' race+faith launch is beneath contempt. https://t.co/XfFdaydRg1,0
1346098784288321541,PalBint,2021-01-04 14:18:54+00:00,0,Israel,Now that Trump's criminality has been exposed I am guessing  Kushner's days of running back &amp; forth 2 Israel are over. \n\nWhen all is said and done just four countries were strong armed into normalising relations w/Israel. \n\nAll 4 countries that BTW are serial human rights abusers,0
1410445389178703882,CastleTheWise,2021-07-01 03:49:20+00:00,0,Jews,@VerumEstLiberta @Jerusalem_Post because those same jews have made it clear they do not support what Israel is doing to Palestinians.,1
1099540651291668480,LarsFermi,2019-02-24 05:24:54+00:00,0,Jews,"The Quran tells us that Muslims are superior to Jews &amp; Christians. And that Allah does NOT love Jews &amp; Christians, who are the worst of creatures including animals. #ISLAM #Sharia #ShariaKills #StopIslam #BanSharia #dkpol #svpol https://t.co/G8vZA2HgZj",1
1255606569242370049,BS1csb,2020-04-29 21:15:08+00:00,1,Jews,@ChaimDeutsch What possible explaination could those Hasidic Jews have for congregating in the thousands during this global pandemic crisis? They blatantly broke the law and put my life and my fellow New Yorker’s life in danger. I couldn’t be prouder of what mayor Deblasio did and said.,1
1444028768826310662,Neoonecattorul1,2021-10-01 19:57:41+00:00,0,Jews,"@patriottakes Yeah, remember how the Nazis tried to make the Jews get life-saving medication and they refused?",0
1582055604637442049,letthegirltalk,2022-10-17 17:07:03+00:00,1,Israel,RT @I_amMukhtar: Big up this man for calling out apartheid Israel. https://t.co/mxg1cKNsWj,0
1415126068822827009,AHalcali,2021-07-14 01:48:41+00:00,0,Jews,Note the “Death to Israel” - wonder what this person’s plans are for the 7 million Jews that live there https://t.co/Iamuj0Mdmr https://t.co/PgN6O0ZDGe,0
1580348581676187648,Luis_Ramos_61,2022-10-13 00:03:57+00:00,0,Jews,"RT @SaraEisen: Where is Adidas? A German company that traces its roots to the Dassler brothers, members of Nazi party, whose shoe factory produced weapons during WW2, still has no comment 3 days after its key partner said heâ€™s going defcon 3 on Jews. Instead Adidas released new Yeezys this week",0
1295632696538836993,Victor76837717,2020-08-18 08:04:41+00:00,0,Israel,"""This deal came together as a result of negotiations between Israel and the United Arab Emirates, facilitated and led by the United States,"" Jared Kushner writes. \n\nA strategic policy shift by President Trump three and a half years ago laid the foundation. https://t.co/SebqD7IZox",0
1518106251636486145,TAsaurus,2022-04-24 05:55:10+00:00,1,Israel,The Truth Israel Doesn't Want You to Hear https://t.co/X6w3enqbQB,0
