ID,Username,CreateDate,Biased,Keyword,Text,annotation
1410445389178703882,CastleTheWise,2021-07-01 03:49:20+00:00,0,Jews,@VerumEstLiberta @Jerusalem_Post because those same jews have made it clear they do not support what Israel is doing to Palestinians.,1
1099540651291668480,LarsFermi,2019-02-24 05:24:54+00:00,0,Jews,"The Quran tells us that Muslims are superior to Jews &amp; Christians. And that Allah does NOT love Jews &amp; Christians, who are the worst of creatures including animals. #ISLAM #Sharia #ShariaKills #StopIslam #BanSharia #dkpol #svpol https://t.co/G8vZA2HgZj",1
1255606569242370049,BS1csb,2020-04-29 21:15:08+00:00,1,Jews,@ChaimDeutsch What possible explaination could those Hasidic Jews have for congregating in the thousands during this global pandemic crisis? They blatantly broke the law and put my life and my fellow New Yorker’s life in danger. I couldn’t be prouder of what mayor Deblasio did and said.,1
1311436386067722240,JennJonesMD,2020-09-30 22:42:54+00:00,0,Jews,"""the china virus""\n""the muslim ban""\ntelling American Jews ""we love your country"" \n""very fine people on both sides"" \n""birtherism"" \nSaying an American judge couldn't be impartial because he was ""Mexican"" \nwarning suburban women of a black senator\n""Pocahontas""\n""Sh*thole countries"" https://t.co/MWO61O9QqN",1
1266947728166342656,mamaclaudio,2020-05-31 04:20:51+00:00,0,Jews,"RT @SecPompeo: You hang homosexuals, stone women and exterminate Jews. https://t.co/eip0bu8RIL",1
1227913107478962177,NomentumC,2020-02-13 11:11:13+00:00,0,Jews,"First they came for the Jews, I mean Zionists. Then they came for the women, I mean transphobes. https://t.co/270zVma6bE",1
1519376257498107904,24nagyelshafie,2022-04-27 18:01:43+00:00,1,Israel,"Ani-Islam♥2)Following Assassination of J. Kennedy by Israel 1963♦ Most of them have been described by the Qur’an as seeking corruption on earth and they are the most hateful and hostile to Muslims,(Allah said: Christians are the closest people to Muslims\nhttps://t.co/xaTd4pDUZK",1
1470476148157124617,ALLPreksMatter,2021-12-13 19:30:08+00:00,0,Jews,@teacher_choice These look like Orthodox Jews to us! They are anti-Semitic?! Really?! https://t.co/IAo6AaF1vj,1
1272735148383940610,CPhantonex,2020-06-16 03:38:00+00:00,0,Jews,Jews in NYC just cut the lock @NYCMayor put on their park 🇺🇸 https://t.co/77431im2Ge,1
1516807641783275533,lowrie_george,2022-04-20 15:54:57+00:00,0,Israel,"@RichardBurgon A lying politician? Never! Didn't you get caught lying in 4k about some Israel thing? Let's face it, yous all lie, you have the additional drawback of being incredibly thick! Man, if you and Diane Abbott made a baby it would be thicker than Kim kardashians arse!",1
1275278623860305922,PJMedia_com,2020-06-23 04:04:52+00:00,0,Jews,America's Jews and Christians Are Failing the Test of Their Lives https://t.co/Q1ExnfLPk8,1
1286743701797195777,AnnaV007,2020-07-24 19:22:59+00:00,0,Jews,Leader of Britain�s largest Muslim charity forced to quit after labelling Jews 'grandchildren of monkeys and pigs'. ?@jhrwatch?  https://t.co/DVAztfMneO,1
1125194075316064256,ConsciousEvolv8,2019-05-06 00:22:27+00:00,0,Jews,"We are not responsible for @netnyahu and co., the Zionists.   We have nothing with them.   Jews as a whole should n� https://t.co/2Dy1r6FaIX",1
1295216681577398272,Murda_Vipaksh,2020-08-17 04:31:35+00:00,1,Israel,RT @hannah_aslamx: idk what israel is x,1
1141378995935686656,FernandoFalco3,2019-06-19 16:15:33+00:00,1,ZioNazi,@swilkinsonbc How about expel all zionazis of Palestine!,1
1190205141380583424,Iqbalwaheed17,2019-11-01 09:53:13+00:00,1,ZioNazi,@YourFriendZippy ZioNazis propoganda hopefully Brits not going to fall for this zionists shit,1
1285974358637391875,AmandaR75321365,2020-07-22 16:25:54+00:00,0,Jews,@damian_from Most of the people I know who have been suspended are left wing jews ffs,1
1091099711585599488,joeburns_joe,2019-01-31 22:23:37+00:00,0,Jews,@irishzionist Arabs and Jihadi supporters scratching their heads wondering how they can blame Jews. \n\nWait until a Gazan gets eaten by a shark lol,1
1488598411955822601,Khalid91683452,2022-02-01 19:41:32+00:00,1,Jews,"@Omar92Rana Indeed, palestinian sister....what strikes me odd is that the jews didnt learn anything from Hitler....instead they copied his evil acts....an evil breed indeed",1
1231013573922607108,nlrunyon36,2020-02-22 00:31:21+00:00,0,Jews,"WARNING: They tell us who they are, when will Jews &amp; Christians listen?  Turkish Imam Muhammed Korkmaz Hoca;  ""I am raising my son to be a high-quality, fantastic Enemy of the Jews and Christians""  ""I am their enemy. May the curse of Allah be upon them &amp; grant us hatred of them!"" https://t.co/HNQpl6my74",1
